序号      通道号         到达时间         幅度         持续时间(uS)   上升时间(uS)   振铃计数   上升计数   能量(mV*mS)     RMS(mV)      ASL(dB)         撞击数   撞击速率   质心频率 峰值频率   
42	     1	    255.1089897	   47.61	     4692.00	       99.67	   103	    13	       21.37	        5.98	   33.17	    30	      0.88	189918	128906	
43	     1	    255.4606140	   42.11	     3578.33	        9.00	    61	     2	       17.11	        5.80	   33.59	    31	      0.88	249288	  2197	
44	     1	    255.8025114	   32.96	     7364.67	      486.00	   352	    44	       51.61	        8.71	   36.91	    32	      0.88	183103	 98144	
45	     5	    256.9978657	   36.62	     2322.00	       25.00	   173	     7	       10.37	        6.50	   33.01	     6	      0.27	354308	392578	
46	     1	    257.1661354	   80.26	     7068.00	        8.67	   258	     2	       43.57	        8.26	   35.80	    33	      0.88	217229	  2197	
47	     1	    259.2294987	  228.27	    27207.67	      165.00	  1189	    19	      286.97	       18.72	   40.46	    34	      0.88	147185	 98144	
48	     1	    259.4109140	   72.94	     5708.00	      329.00	   245	     6	       41.50	        9.18	   37.23	    35	      0.88	185274	  2197	
49	     1	    260.7413290	   34.48	    10609.67	      156.00	   312	    17	       75.18	        8.23	   37.01	    36	      0.88	172360	  2197	
50	     1	    267.6320170	   31.43	     4752.67	       35.33	   230	     6	       34.76	        8.69	   37.28	    37	      0.88	176143	  2197	
51	     1	    310.9496339	   39.98	    13564.67	       94.67	   382	    11	       82.60	        7.31	   35.69	    38	      0.88	167634	  2197	
52	     2	    311.7200955	   33.26	    15747.67	      248.67	   200	    14	       56.83	        5.03	   31.16	     7	      0.21	215447	 11718	
53	     1	    311.7201219	   35.71	    12114.00	      104.33	   330	    12	       76.25	        7.77	   35.98	    39	      0.88	179332	  2197	
54	     2	    316.1454675	   35.40	    22437.67	      218.33	   422	    20	       91.24	        6.04	   32.20	     8	      0.21	204587	103271	
55	     2	    316.2788279	   36.32	    22999.00	      186.33	   287	    10	       75.27	        4.53	   30.32	     9	      0.21	241219	 11718	
56	     2	    319.3855252	   52.19	    14635.67	      388.33	   380	    24	       92.44	        9.67	   36.01	    10	      0.21	177021	 11718	
57	     1	    320.2371282	   32.96	     7444.67	        1.67	   172	     1	       41.94	        6.76	   35.02	    40	      0.88	185220	  2197	
58	     5	    320.6042192	   32.35	     2363.00	       49.33	    77	    11	        6.79	        4.32	   29.21	     7	      0.27	403101	161132	
59	     1	    322.1377835	   31.43	    29663.33	       26.33	   482	     4	      161.13	        6.41	   34.70	    41	      0.88	180088	  2197	
60	     1	    336.9680448	  145.26	    18035.67	      417.33	   891	    53	      197.70	       18.69	   40.80	    42	      0.88	164759	134033	
61	     5	    336.9693515	   73.24	     9872.00	        2.33	   622	     1	       65.39	       11.38	   36.43	     8	      0.27	250804	157470	
62	     2	    336.9693541	   49.74	    15737.00	      196.00	   422	    25	       80.25	        7.97	   34.16	    11	      0.21	183643	 11718	
63	     2	    338.2030858	   35.40	     9000.00	      250.00	   131	    15	       31.71	        4.76	   30.96	    12	      0.21	287418	  7324	
64	     1	    338.2037855	   45.17	     9962.67	       43.00	   277	     5	       63.79	        8.01	   36.13	    43	      0.88	171355	  2197	
65	     1	    338.4145028	   31.43	     5913.67	      160.00	   218	    24	       38.51	        7.78	   36.28	    44	      0.88	198874	  2197	
66	     5	    339.9638218	   67.14	    69181.67	      106.33	  1071	     9	       76.42	        2.76	   21.30	     9	      0.27	294937	158935	
67	     2	    339.9646411	   30.82	     8486.33	      174.33	    94	    12	       23.28	        3.75	   28.80	    13	      0.21	269185	  5126	
68	     2	    342.5575911	  108.34	     9375.00	      174.67	   412	     6	       98.25	       16.32	   40.41	    14	      0.21	148892	 11718	
69	     1	    344.3377641	   34.18	    12599.67	       69.33	   278	    10	       66.82	        6.47	   34.49	    45	      0.88	179728	128906	
70	     1	    344.3994435	   44.86	    10049.00	      194.33	   269	    30	       57.64	        6.89	   35.17	    46	      0.88	215544	  2197	
71	     5	    346.7527431	   32.65	     3156.67	       33.00	   111	     4	       10.56	        4.68	   30.51	    10	      0.27	350189	156738	
72	     1	    346.9746261	   79.96	     8991.67	      252.67	   385	    34	       69.21	       11.51	   37.73	    47	      0.88	179371	  2197	
73	     5	    347.0926381	   36.62	     3000.67	      186.00	   148	    25	       12.04	        5.76	   32.09	    11	      0.27	320145	163330	
74	     1	    347.1019885	   40.28	     7245.00	       16.67	   225	     5	       40.87	        6.85	   35.03	    48	      0.88	290193	194091	
75	     1	    351.2482288	   39.67	    15161.67	      211.00	   251	    26	       76.92	        6.23	   34.11	    49	      0.88	187903	  2197	
76	     1	    352.8131768	   32.35	    10513.00	      153.33	   190	    18	       54.44	        6.44	   34.29	    50	      0.88	153489	  2197	
77	     1	    352.8952024	   37.54	     4810.00	      103.33	   126	    10	       25.88	        6.43	   34.62	    51	      0.88	198327	  2197	
78	     1	    357.2064761	   32.35	     6388.00	       99.67	   152	    13	       32.40	        6.16	   34.11	    52	      0.88	192257	  1464	
79	     4	    358.3275368	   80.26	     3817.33	       55.33	   292	     7	       33.49	       13.08	   38.86	     2	      0.12	200405	172119	
80	     1	    358.3290871	  390.93	    12068.00	      300.67	   702	    41	      261.46	       43.01	   46.71	    53	      0.88	158958	129638	
81	     1	    358.3806148	   50.66	     5177.33	       30.33	   140	     4	       27.24	        6.88	   34.43	    54	      0.88	183128	  2197	
82	     1	    360.4643841	   55.54	     4753.00	      438.33	   229	     7	       33.89	        8.71	   37.06	    55	      0.88	208715	  2929	
83	     1	    362.2709308	   66.83	    10630.33	      120.00	   365	    17	       80.51	        9.86	   37.58	    56	      0.88	148997	  2197	
84	     1	    363.3042024	  211.18	    13383.00	      173.00	   819	    24	      222.09	       30.30	   44.40	    57	      0.88	157456	128173	
85	     1	    365.5686634	   30.52	     5954.33	      329.67	   199	    20	       34.81	        7.26	   35.34	    58	      0.88	183211	  2197	
86	     1	    368.1074451	  169.07	     7184.00	      431.67	   489	    47	      106.50	       24.30	   43.42	    59	      0.88	157181	113525	
87	     1	    369.7033194	   52.80	     5309.33	      141.67	   266	    19	       38.37	        9.93	   37.18	    60	      0.88	153953	135498	
88	     1	    369.7421957	   47.91	    11584.00	       11.67	   333	     2	       75.09	        8.89	   36.24	    61	      0.88	145535	 12451	
89	     1	    373.4742864	  125.12	    14772.00	       40.33	   449	     8	       99.21	       10.60	   36.54	    62	      0.88	204305	115722	
90	     2	    373.4745161	   65.61	     9435.67	      130.33	   268	    21	       36.02	        6.20	   31.65	    15	      0.21	221434	 76171	
91	     5	    373.4745777	  100.71	     9374.00	        5.67	   429	     3	       44.73	       10.07	   33.61	    12	      0.27	278009	163330	
92	     2	    373.6344331	   90.33	     9438.67	      258.67	   384	    19	       72.93	       12.62	   37.76	    16	      0.21	168055	  5859	
93	     1	    373.6344334	  467.53	    10910.67	       41.67	   614	     4	      152.43	       26.11	   42.90	    63	      0.88	174871	130371	
94	     5	    373.6345597	  154.72	     9498.67	      204.67	   579	    41	       82.84	       17.81	   38.82	    13	      0.27	245367	160400	
95	     1	    375.4278657	   44.86	    11030.67	      220.33	   272	    18	       66.69	        7.70	   35.63	    64	      0.88	128998	 51269	
96	     1	    380.5587714	  273.44	    23373.33	      121.00	   692	     9	      199.12	       16.69	   38.61	    65	      0.88	204676	114990	
97	     1	    383.3131484	   34.18	    16277.00	       24.67	   197	     3	       80.03	        5.84	   33.84	    66	      0.88	199637	  2197	
98	     2	    384.0001307	   32.04	     2875.67	      255.67	   112	    15	       14.61	        6.86	   34.13	    17	      0.21	220984	 79833	
99	     1	    384.0001970	   51.27	     4746.00	       17.00	   100	     3	       24.84	        6.95	   34.38	    67	      0.88	177224	 39550	
100	     1	    386.0499757	   29.91	     6918.00	      164.33	   178	    18	       36.69	        6.66	   34.49	    68	      0.88	184506	  2197	
101	     1	    386.2628267	   35.40	     4776.33	       21.33	   150	     4	       27.16	        6.97	   35.10	    69	      0.88	194095	  2197	
102	     1	    386.6581570	   40.59	     6097.00	      486.67	   210	    33	       35.77	        7.28	   35.01	    70	      0.88	196254	  2197	
103	     1	    387.2249680	   66.53	     7258.00	      107.00	   246	    11	       43.15	        7.69	   35.48	    71	      0.88	190628	  2197	
104	     1	    387.7277770	   44.56	     6275.67	      203.67	   160	    28	       32.77	        6.53	   34.36	    72	      0.88	197006	  2197	
105	     1	    390.1125687	   30.21	     4803.33	       94.33	   114	    12	       23.40	        6.17	   33.76	    73	      0.88	199150	  2197	
106	     1	    390.1422583	   51.88	     9369.67	      323.67	   307	    13	       56.65	        8.20	   35.63	    74	      0.88	182461	 39550	
