7	69870	73215	-906	69866.482	73221.563	-908.5	0.086
6	69870	73215	-906	69866.056	73418.229	-936.7	0.146
10	69870	73215	-906	69687.719	73391.821	-972.921	0.157
9	69870	73215	-906	69752.3	73617.2	-1003.8	0.198
7	69793	73220	-905	69866.482	73221.563	-908.5	0.498
19	69793	73220	-905	69688.277	73169.306	-950	0.508
6	69793	73220	-905	69866.056	73418.229	-936.7	0.53
10	69793	73220	-905	69687.719	73391.821	-972.921	0.536
6	69835	73424	-858	69866.056	73418.229	-936.7	0.624
10	69835	73424	-858	69687.719	73391.821	-972.921	0.632
7	69835	73424	-858	69866.482	73221.563	-908.5	0.673
19	69835	73424	-858	69688.277	73169.306	-950	0.683
9	69835	73424	-858	69752.3	73617.2	-1003.8	0.683
12	69835	73424	-858	71213.4438	73636.7503	-624.981	0.913
19	69788	73044	-796	69688.277	73169.306	-950	0.474
7	69788	73044	-796	69866.482	73221.563	-908.5	0.499
6	69788	73044	-796	69866.056	73418.229	-936.7	0.554
10	69788	73044	-796	69687.719	73391.821	-972.921	0.566
9	69788	73044	-796	69752.3	73617.2	-1003.8	0.588
12	69788	73044	-796	71213.4438	73636.7503	-624.981	0.706
10	69761	73421	-1023	69687.719	73391.821	-972.921	0.507
9	69761	73421	-1023	69752.3	73617.2	-1003.8	0.526
7	69761	73421	-1023	69866.482	73221.563	-908.5	0.526
6	69761	73421	-1023	69866.056	73418.229	-936.7	0.536
19	69761	73421	-1023	69688.277	73169.306	-950	0.558
7	69829	73270	-877	69866.482	73221.563	-908.5	0.794
6	69829	73270	-877	69866.056	73418.229	-936.7	0.804
19	69829	73270	-877	69688.277	73169.306	-950	0.831
10	69829	73270	-877	69687.719	73391.821	-972.921	0.835
9	69829	73270	-877	69752.3	73617.2	-1003.8	0.883
6	69855	73455	-883	69866.056	73418.229	-936.7	0.127
7	69855	73455	-883	69866.482	73221.563	-908.5	0.16
9	69855	73455	-883	69752.3	73617.2	-1003.8	0.161
10	69855	73455	-883	69687.719	73391.821	-972.921	0.168
19	69855	73455	-883	69688.277	73169.306	-950	0.192
19	69707	73109	-939	69688.277	73169.306	-950	0.307
7	69707	73109	-939	69866.482	73221.563	-908.5	0.343
10	69707	73109	-939	69687.719	73391.821	-972.921	0.365
6	69707	73109	-939	69866.056	73418.229	-936.7	0.375
9	69707	73109	-939	69752.3	73617.2	-1003.8	0.425
7	69878	73214	-904	69866.482	73221.563	-908.5	0.24
6	69878	73214	-904	69866.056	73418.229	-936.7	0.29
19	69878	73214	-904	69688.277	73169.306	-950	0.296
10	69878	73214	-904	69687.719	73391.821	-972.921	0.312
9	69878	73214	-904	69752.3	73617.2	-1003.8	0.355
7	69865	73138	-889	69866.482	73221.563	-908.5	0.481
19	69865	73138	-889	69688.277	73169.306	-950	0.506
10	69865	73138	-889	69687.719	73391.821	-972.921	0.544
6	69865	73138	-889	69866.056	73418.229	-936.7	0.544
9	69865	73138	-889	69752.3	73617.2	-1003.8	0.595
9	69793	73611	-982	69752.3	73617.2	-1003.8	0.947
6	69793	73611	-982	69866.056	73418.229	-936.7	0.992
10	69793	73611	-982	69687.719	73391.821	-972.921	0.998
7	69793	73611	-982	69866.482	73221.563	-908.5	0.037
19	69793	73611	-982	69688.277	73169.306	-950	0.05
7	69859	73202	-924	69866.482	73221.563	-908.5	0.051
19	69859	73202	-924	69688.277	73169.306	-950	0.088
6	69859	73202	-924	69866.056	73418.229	-936.7	0.093
10	69859	73202	-924	69687.719	73391.821	-972.921	0.114
9	69859	73202	-924	69752.3	73617.2	-1003.8	0.155
9	69819	73513	-1027	69752.3	73617.2	-1003.8	0.074
6	69819	73513	-1027	69866.056	73418.229	-936.7	0.077
10	69819	73513	-1027	69687.719	73391.821	-972.921	0.092
7	69819	73513	-1027	69866.482	73221.563	-908.5	0.129
19	69819	73513	-1027	69688.277	73169.306	-950	0.134
19	69745	73108	-884	69688.277	73169.306	-950	0.033
7	69745	73108	-884	69866.482	73221.563	-908.5	0.048
10	69745	73108	-884	69687.719	73391.821	-972.921	0.086
6	69745	73108	-884	69866.056	73418.229	-936.7	0.088
9	69745	73108	-884	69752.3	73617.2	-1003.8	0.14
7	69793	73167	-910	69866.482	73221.563	-908.5	0.469
19	69793	73167	-910	69688.277	73169.306	-950	0.473
6	69793	73167	-910	69866.056	73418.229	-936.7	0.508
10	69793	73167	-910	69687.719	73391.821	-972.921	0.514
19	69684	73141	-938	69688.277	73169.306	-950	0.867
7	69684	73141	-938	69866.482	73221.563	-908.5	0.911
10	69684	73141	-938	69687.719	73391.821	-972.921	0.927
6	69684	73141	-938	69866.056	73418.229	-936.7	0.94
9	69684	73141	-938	69752.3	73617.2	-1003.8	0.012
7	69809	73241	-879	69866.482	73221.563	-908.5	0.526
19	69809	73241	-879	69688.277	73169.306	-950	0.549
6	69809	73241	-879	69866.056	73418.229	-936.7	0.573
9	69809	73241	-879	69752.3	73617.2	-1003.8	0.58
10	69809	73241	-879	69687.719	73391.821	-972.921	0.581
9	69777	73608	-992	69752.3	73617.2	-1003.8	0.538
6	69777	73608	-992	69866.056	73418.229	-936.7	0.581
10	69777	73608	-992	69687.719	73391.821	-972.921	0.592
7	69777	73608	-992	69866.482	73221.563	-908.5	0.637
9	69809	73587	-1027	69752.3	73617.2	-1003.8	0.12
10	69809	73587	-1027	69687.719	73391.821	-972.921	0.152
6	69809	73587	-1027	69866.056	73418.229	-936.7	0.161
7	69809	73587	-1027	69866.482	73221.563	-908.5	0.206
7	69847	73235	-896	69866.482	73221.563	-908.5	0.382
6	69847	73235	-896	69866.056	73418.229	-936.7	0.418
19	69847	73235	-896	69688.277	73169.306	-950	0.428
10	69847	73235	-896	69687.719	73391.821	-972.921	0.432
9	69847	73235	-896	69752.3	73617.2	-1003.8	0.487
7	69847	73241	-894	69866.482	73221.563	-908.5	0.311
6	69847	73241	-894	69866.056	73418.229	-936.7	0.344
19	69847	73241	-894	69688.277	73169.306	-950	0.354
10	69847	73241	-894	69687.719	73391.821	-972.921	0.362
9	69847	73241	-894	69752.3	73617.2	-1003.8	0.412
7	69863	73256	-902	69866.482	73221.563	-908.5	0.357
10	69863	73256	-902	69687.719	73391.821	-972.921	0.38
6	69863	73256	-902	69866.056	73418.229	-936.7	0.396
19	69863	73256	-902	69688.277	73169.306	-950	0.422
9	69863	73256	-902	69752.3	73617.2	-1003.8	0.458
7	69835	73227	-875	69866.482	73221.563	-908.5	0.95
6	69835	73227	-875	69866.056	73418.229	-936.7	0.985
19	69835	73227	-875	69688.277	73169.306	-950	0.987
10	69835	73227	-875	69687.719	73391.821	-972.921	0.999
9	69835	73227	-875	69752.3	73617.2	-1003.8	0.051
7	69847	73227	-885	69866.482	73221.563	-908.5	0.429
6	69847	73227	-885	69866.056	73418.229	-936.7	0.464
19	69847	73227	-885	69688.277	73169.306	-950	0.47
10	69847	73227	-885	69687.719	73391.821	-972.921	0.482
9	69847	73227	-885	69752.3	73617.2	-1003.8	0.536
7	69911	73256	-897	69866.482	73221.563	-908.5	0.195
6	69911	73256	-897	69866.056	73418.229	-936.7	0.23
10	69911	73256	-897	69687.719	73391.821	-972.921	0.248
19	69911	73256	-897	69688.277	73169.306	-950	0.254
9	69911	73256	-897	69752.3	73617.2	-1003.8	0.277
7	69845	73235	-895	69866.482	73221.563	-908.5	0.521
6	69845	73235	-895	69866.056	73418.229	-936.7	0.56
19	69845	73235	-895	69688.277	73169.306	-950	0.562
10	69845	73235	-895	69687.719	73391.821	-972.921	0.57
9	69845	73235	-895	69752.3	73617.2	-1003.8	0.62
10	69700	73435	-979	69687.719	73391.821	-972.921	0.648
6	69700	73435	-979	69866.056	73418.229	-936.7	0.677
9	69700	73435	-979	69752.3	73617.2	-1003.8	0.685
7	69700	73435	-979	69866.482	73221.563	-908.5	0.713
7	69861	73202	-895	69866.482	73221.563	-908.5	0.538
19	69861	73202	-895	69688.277	73169.306	-950	0.579
6	69861	73202	-895	69866.056	73418.229	-936.7	0.58
10	69861	73202	-895	69687.719	73391.821	-972.921	0.593
9	69861	73202	-895	69752.3	73617.2	-1003.8	0.659
7	69847	73235	-892	69866.482	73221.563	-908.5	0.283
6	69847	73235	-892	69866.056	73418.229	-936.7	0.316
19	69847	73235	-892	69688.277	73169.306	-950	0.324
10	69847	73235	-892	69687.719	73391.821	-972.921	0.338
9	69847	73235	-892	69752.3	73617.2	-1003.8	0.388
7	69859	73224	-889	69866.482	73221.563	-908.5	0.472
6	69859	73224	-889	69866.056	73418.229	-936.7	0.512
19	69859	73224	-889	69688.277	73169.306	-950	0.514
10	69859	73224	-889	69687.719	73391.821	-972.921	0.532
9	69859	73224	-889	69752.3	73617.2	-1003.8	0.578
7	69861	73237	-902	69866.482	73221.563	-908.5	0.127
6	69861	73237	-902	69866.056	73418.229	-936.7	0.158
19	69861	73237	-902	69688.277	73169.306	-950	0.17
10	69861	73237	-902	69687.719	73391.821	-972.921	0.178
9	69861	73237	-902	69752.3	73617.2	-1003.8	0.24
7	69835	73246	-886	69866.482	73221.563	-908.5	0.786
6	69835	73246	-886	69866.056	73418.229	-936.7	0.82
19	69835	73246	-886	69688.277	73169.306	-950	0.825
10	69835	73246	-886	69687.719	73391.821	-972.921	0.831
9	69835	73246	-886	69752.3	73617.2	-1003.8	0.876
7	69869	73217	-901	69866.482	73221.563	-908.5	0.574
6	69869	73217	-901	69866.056	73418.229	-936.7	0.606
10	69869	73217	-901	69687.719	73391.821	-972.921	0.63
19	69869	73217	-901	69688.277	73169.306	-950	0.631
9	69869	73217	-901	69752.3	73617.2	-1003.8	0.707
5	69869	73217	-901	70238.6	73671.7	-911.2	0.727
7	69845	73255	-883	69866.482	73221.563	-908.5	0.763
6	69845	73255	-883	69866.056	73418.229	-936.7	0.793
19	69845	73255	-883	69688.277	73169.306	-950	0.803
10	69845	73255	-883	69687.719	73391.821	-972.921	0.809
9	69845	73255	-883	69752.3	73617.2	-1003.8	0.847
7	69835	73261	-878	69866.482	73221.563	-908.5	0.647
6	69835	73261	-878	69866.056	73418.229	-936.7	0.67
19	69835	73261	-878	69688.277	73169.306	-950	0.686
10	69835	73261	-878	69687.719	73391.821	-972.921	0.69
9	69835	73261	-878	69752.3	73617.2	-1003.8	0.727
7	69845	73218	-914	69866.482	73221.563	-908.5	0.018
19	69845	73218	-914	69688.277	73169.306	-950	0.055
6	69845	73218	-914	69866.056	73418.229	-936.7	0.065
10	69845	73218	-914	69687.719	73391.821	-972.921	0.07
7	69819	73233	-889	69866.482	73221.563	-908.5	0.365
19	69819	73233	-889	69688.277	73169.306	-950	0.394
6	69819	73233	-889	69866.056	73418.229	-936.7	0.402
10	69819	73233	-889	69687.719	73391.821	-972.921	0.408
7	69862	73260	-902	69866.482	73221.563	-908.5	0.397
6	69862	73260	-902	69866.056	73418.229	-936.7	0.43
19	69862	73260	-902	69688.277	73169.306	-950	0.441
10	69862	73260	-902	69687.719	73391.821	-972.921	0.443
9	69862	73260	-902	69752.3	73617.2	-1003.8	0.486
7	69761	73224	-880	69866.482	73221.563	-908.5	0.471
6	69761	73224	-880	69866.056	73418.229	-936.7	0.496
10	69761	73224	-880	69687.719	73391.821	-972.921	0.499
9	69761	73224	-880	69752.3	73617.2	-1003.8	0.552
10	69691	73440	-979	69687.719	73391.821	-972.921	0.728
6	69691	73440	-979	69866.056	73418.229	-936.7	0.763
9	69691	73440	-979	69752.3	73617.2	-1003.8	0.763
19	69691	73440	-979	69688.277	73169.306	-950	0.787
7	69691	73440	-979	69866.482	73221.563	-908.5	0.795
9	69751	73615	-1007	69752.3	73617.2	-1003.8	0.177
10	69751	73615	-1007	69687.719	73391.821	-972.921	0.25
6	69751	73615	-1007	69866.056	73418.229	-936.7	0.251
7	69751	73615	-1007	69866.482	73221.563	-908.5	0.264
19	69751	73615	-1007	69688.277	73169.306	-950	0.275
7	69829	73271	-884	69866.482	73221.563	-908.5	0.1
6	69829	73271	-884	69866.056	73418.229	-936.7	0.127
10	69829	73271	-884	69687.719	73391.821	-972.921	0.134
19	69829	73271	-884	69688.277	73169.306	-950	0.138
9	69829	73271	-884	69752.3	73617.2	-1003.8	0.176
19	69684	73147	-944	69688.277	73169.306	-950	0.351
7	69684	73147	-944	69866.482	73221.563	-908.5	0.393
10	69684	73147	-944	69687.719	73391.821	-972.921	0.411
6	69684	73147	-944	69866.056	73418.229	-936.7	0.443
9	69684	73147	-944	69752.3	73617.2	-1003.8	0.476
7	69819	73246	-889	69866.482	73221.563	-908.5	0.127
6	69819	73246	-889	69866.056	73418.229	-936.7	0.154
10	69819	73246	-889	69687.719	73391.821	-972.921	0.16
19	69819	73246	-889	69688.277	73169.306	-950	0.16
9	69819	73246	-889	69752.3	73617.2	-1003.8	0.222
7	69819	73235	-878	69866.482	73221.563	-908.5	0.666
19	69819	73235	-878	69688.277	73169.306	-950	0.695
6	69819	73235	-878	69866.056	73418.229	-936.7	0.697
10	69819	73235	-878	69687.719	73391.821	-972.921	0.711
9	69819	73235	-878	69752.3	73617.2	-1003.8	0.76
7	69835	73270	-892	69866.482	73221.563	-908.5	0.152
6	69835	73270	-892	69866.056	73418.229	-936.7	0.176
10	69835	73270	-892	69687.719	73391.821	-972.921	0.188
9	69835	73270	-892	69752.3	73617.2	-1003.8	0.188
10	69710	73411	-1021	69687.719	73391.821	-972.921	0.627
6	69710	73411	-1021	69866.056	73418.229	-936.7	0.662
9	69710	73411	-1021	69752.3	73617.2	-1003.8	0.662
19	69710	73411	-1021	69688.277	73169.306	-950	0.671
7	69710	73411	-1021	69866.482	73221.563	-908.5	0.677
7	69829	73241	-883	69866.482	73221.563	-908.5	0.193
6	69829	73241	-883	69866.056	73418.229	-936.7	0.219
19	69829	73241	-883	69688.277	73169.306	-950	0.228
10	69829	73241	-883	69687.719	73391.821	-972.921	0.236
9	69829	73241	-883	69752.3	73617.2	-1003.8	0.292
7	69845	73255	-892	69866.482	73221.563	-908.5	0.252
6	69845	73255	-892	69866.056	73418.229	-936.7	0.273
10	69845	73255	-892	69687.719	73391.821	-972.921	0.295
19	69845	73255	-892	69688.277	73169.306	-950	0.297
9	69845	73255	-892	69752.3	73617.2	-1003.8	0.351
7	69845	73235	-886	69866.482	73221.563	-908.5	0.742
6	69845	73235	-886	69866.056	73418.229	-936.7	0.767
19	69845	73235	-886	69688.277	73169.306	-950	0.783
10	69845	73235	-886	69687.719	73391.821	-972.921	0.789
9	69845	73235	-886	69752.3	73617.2	-1003.8	0.857
19	69684	73157	-944	69688.277	73169.306	-950	0.342
7	69684	73157	-944	69866.482	73221.563	-908.5	0.384
10	69684	73157	-944	69687.719	73391.821	-972.921	0.388
6	69684	73157	-944	69866.056	73418.229	-936.7	0.441
9	69684	73157	-944	69752.3	73617.2	-1003.8	0.483
7	69809	73271	-876	69866.482	73221.563	-908.5	0.096
10	69809	73271	-876	69687.719	73391.821	-972.921	0.119
6	69809	73271	-876	69866.056	73418.229	-936.7	0.125
19	69809	73271	-876	69688.277	73169.306	-950	0.133
9	69809	73271	-876	69752.3	73617.2	-1003.8	0.162
19	69684	73147	-942	69688.277	73169.306	-950	0.791
7	69684	73147	-942	69866.482	73221.563	-908.5	0.834
10	69684	73147	-942	69687.719	73391.821	-972.921	0.84
6	69684	73147	-942	69866.056	73418.229	-936.7	0.874
9	69684	73147	-942	69752.3	73617.2	-1003.8	0.93
19	69744	73028	-998	69688.277	73169.306	-950	0.667
7	69744	73028	-998	69866.482	73221.563	-908.5	0.697
10	69744	73028	-998	69687.719	73391.821	-972.921	0.718
6	69744	73028	-998	69866.056	73418.229	-936.7	0.733
9	69744	73028	-998	69752.3	73617.2	-1003.8	0.784
5	69744	73028	-998	70238.6	73671.7	-911.2	0.819
6	69873	73430	-931	69866.056	73418.229	-936.7	0.809
10	69873	73430	-931	69687.719	73391.821	-972.921	0.852
7	69873	73430	-931	69866.482	73221.563	-908.5	0.866
9	69873	73430	-931	69752.3	73617.2	-1003.8	0.868
5	69873	73430	-931	70238.6	73671.7	-911.2	0.914
7	69809	73227	-898	69866.482	73221.563	-908.5	0.248
19	69809	73227	-898	69688.277	73169.306	-950	0.274
6	69809	73227	-898	69866.056	73418.229	-936.7	0.3
9	69809	73227	-898	69752.3	73617.2	-1003.8	0.322
7	69870	73221	-905	69866.482	73221.563	-908.5	0.028
19	69870	73221	-905	69688.277	73169.306	-950	0.09
6	69870	73221	-905	69866.056	73418.229	-936.7	0.1
10	69870	73221	-905	69687.719	73391.821	-972.921	0.141
